GEOID,neighborhood_name,borough,area_sqmi
QN0103,Astoria (Central),Queens,0.756313924549277
QN0104,Astoria (East)-Woodside (North),Queens,0.9341291223538496
QN0105,Queensbridge-Ravenswood-Dutch Kills,Queens,0.9943746273002462
QN0151,Rikers Island,Bronx,0.6515356924778808
QN0161,Sunnyside Yards (North),Queens,0.1614254052734518
QN0171,St. Michael's Cemetery,Queens,0.157422040080168
QN0191,Astoria Park,Queens,0.09595049619364256
QN0201,Long Island City-Hunters Point,Queens,0.9898471968054429
QN0202,Sunnyside,Queens,1.7110652089211902
QN0203,Woodside,Queens,1.1819190179949994
QN0261,Sunnyside Yards (South),Queens,0.315065408901229
QN0271,Calvary & Mount Zion Cemeteries,Queens,0.512646985202477
QN0301,Jackson Heights,Queens,1.410279799376406
QN0302,East Elmhurst,Queens,1.0317649312023252
QN0303,North Corona,Queens,0.5007971985084442
QN0401,Elmhurst,Queens,1.5102066018220934
QN0402,Corona,Queens,0.861805124576911
QN0501,Maspeth,Queens,2.091748755442502
QN0502,Ridgewood,Queens,1.5262395117149663
QN0503,Glendale,Queens,1.0763341789280343
QN0504,Middle Village,Queens,1.2534187892349387
QN0571,Mount Olivet & All Faiths Cemeteries,Queens,0.27429101073629286
QN0572,Middle Village Cemetery,Queens,0.1976975528569409
QN0573,St. John Cemetery,Queens,0.31401075307909826
QN0574,Highland Park-Cypress Hills Cemeteries (North),Queens,1.1201162778263405
QN0601,Rego Park,Queens,0.7243368428002199
QN0602,Forest Hills,Queens,2.0788345810158275
QN0701,College Point,Queens,2.3928668130994692
QN0702,Whitestone-Beechhurst,Queens,1.8881150907007052
QN0703,Bay Terrace-Clearview,Queens,1.4104084256492957
QN0704,Murray Hill-Broadway Flushing,Queens,2.024961961422008
QN0705,East Flushing,Queens,1.135646389446321
QN0706,Queensboro Hill,Queens,0.947963719208043
QN0707,Flushing-Willets Point,Queens,1.3822272316932074
QN0761,Fort Totten,Queens,0.24955741770715686
QN0791,Kissena Park,Queens,0.3951509732921046
QN0801,Kew Gardens Hills,Queens,1.2304991671232182
QN0802,Pomonok-Electchester-Hillcrest,Queens,1.3262653677319887
QN0803,Fresh Meadows-Utopia,Queens,1.190744678747927
QN0804,Jamaica Estates-Holliswood,Queens,1.4136618007949215
QN0805,Jamaica Hills-Briarwood,Queens,0.9916362621758049
QN0871,Mount Hebron & Cedar Grove Cemeteries,Queens,0.33032407063241687
QN0891,Cunningham Park,Queens,0.7642078605092458
QN0901,Kew Gardens,Queens,0.7276210094608005
QN0902,Richmond Hill,Queens,1.0857781313954737
QN0903,South Richmond Hill,Queens,0.5685096747053205
QN0904,Ozone Park (North),Queens,0.6487927162329722
QN0905,Woodhaven,Queens,0.8511068805171244
QN1001,South Ozone Park,Queens,2.935483863633393
QN1002,Ozone Park,Queens,0.9006173379331415
QN1003,Howard Beach-Lindenwood,Queens,1.8869404705004587
QN1091,Spring Creek Park,Queens,0.4249982447200206
QN1101,Auburndale,Queens,1.9894984723745632
QN1102,Bayside,Queens,2.525613385110167
QN1103,Douglaston-Little Neck,Queens,2.444525863952638
QN1104,Oakland Gardens-Hollis Hills,Queens,1.421703392340215
QN1191,Alley Pond Park,Queens,0.9373694094838598
QN1201,Jamaica,Queens,1.6797538912220047
QN1202,South Jamaica,Queens,1.358262828840243
QN1203,Baisley Park,Queens,1.7199243442629601
QN1204,Springfield Gardens (North)-Rochdale Village,Queens,1.2362356393896936
QN1205,St. Albans,Queens,2.6643146662415775
QN1206,Hollis,Queens,0.8777121841996638
QN1301,Glen Oaks-Floral Park-New Hyde Park,Queens,1.6292661664363817
QN1302,Bellerose,Queens,1.984401722346393
QN1303,Queens Village,Queens,2.4985512526316884
QN1304,Cambria Heights,Queens,1.1863396993270425
QN1305,Laurelton,Queens,1.429085212481584
QN1306,Springfield Gardens (South)-Brookville,Queens,2.0602641748066977
QN1307,Rosedale,Queens,1.6943235653807485
QN1371,Montefiore Cemetery,Queens,0.19090131404541086
QN1401,Far Rockaway-Bayswater,Queens,2.1692380234749287
QN1402,Rockaway Beach-Arverne-Edgemere,Queens,1.8115279971331084
