Facility name,Address,Borough,ZIP Code,Accessible,Facility type,latitude,longitude
Northeast Bronx OAC -OLDER ADULTS ONLY,2968 Bruckner Blvd,Bronx,10465,Yes,Older Adult Center,40.833885,-73.82609
JASA Luna Park Annex OAC -OLDER ADULTS ONLY,2880 W 12 St,Brooklyn,11224,Yes,Older Adult Center,,
Teresa Moore OAC -OLDER ADULTS ONLY,2702 Linden Blvd,Brooklyn,11208,Yes,Older Adult Center,40.6689029,-73.8645967
JCW Workforce OAC -OLDER ADULTS ONLY,27 Barrow St,Manhattan,10014,Yes,Older Adult Center,40.7323308,-74.0031271
JCCGCI Jay-Harama OAC -OLDER ADULTS ONLY,2600 Ocean Av,Brooklyn,11229,Yes,Older Adult Center,40.5979321,-73.9514923
Goddard Riverside LSNC OAC @ West 65th St -OLDER ADULTS ONLY,250 W 65 St,Manhattan,10023,Yes,Older Adult Center,40.7749341,-73.9871901
RAIN Boston Road OAC -OLDER ADULTS ONLY,2424 Boston Rd,Bronx,10467,Yes,Older Adult Center,40.8616988,-73.8662548
RAIN Mt Carmel OAC -OLDER ADULTS ONLY,2405 Southern Blvd,Bronx,10458,Yes,Older Adult Center,40.8538019,-73.8819293
Encore at St Malachy's -OLDER ADULTS ONLY,239 W 49 St,Manhattan,10019,Yes,Older Adult Center,40.7615078,-73.9855927
Bronxworks East Concourse (My Spot/Mi Rincon OAC) -OLDER ADULTS ONLY,236 E Tremont Av,Bronx,10457,Yes,Older Adult Center,40.8487071,-73.9045779
CCNS Dellamonica-Steinway OAC -OLDER ADULTS ONLY,23-56 Broadway,Queens,11106,Yes,Older Adult Center,40.763442,-73.9287229
CCNS Saint Louis OAC -OLDER ADULTS ONLY,230 Kingston Av,Brooklyn,11213,Yes,Older Adult Center,40.6716022,-73.9422794
West Brighton Neighborhood OAC -OLDER ADULTS ONLY,230 Broadway,Staten Island,10310,Yes,Older Adult Center,40.635846,-74.117711
CCNS Bayside OAC -OLDER ADULTS ONLY,221-15 Horace Harding Exwy,Queens,11364,Yes,Older Adult Center,,
Alpha Phi Alpha Senior Citizen OAC -OLDER ADULTS ONLY,220-01 Linden Blvd,Queens,11411,Yes,Older Adult Center,40.6951683,-73.7397943
Thomas Guess OAC -OLDER ADULTS ONLY,2070 Clinton Av,Bronx,10457,Yes,Older Adult Center,40.847118,-73.8878308
"Stein Senior Center, Inc OAC -OLDER ADULTS ONLY",204 E 23 St,Manhattan,10010,Yes,Older Adult Center,40.7369852,-73.9787532
Cothoa Luncheon Club OAC -OLDER ADULTS ONLY,2005 Amsterdam Av,Manhattan,10032,Yes,Older Adult Center,40.8342553,-73.9407968
JCCGCI Ocean Parkway OAC -OLDER ADULTS ONLY,1960 E 7 St,Brooklyn,11223,Yes,Older Adult Center,,
Hope Gardens Multi Service OAC -OLDER ADULTS ONLY,195 Linden St.,Brooklyn,11221,No,Older Adult Center,40.695531,-73.9175259
Stapelton OAC -OLDER ADULTS ONLY,189 Gordon St,Staten Island,10304,No,Older Adult Center,40.623006,-74.0824288
Todt Hill OAC -OLDER ADULTS ONLY,184 Schmidts Ln,Staten Island,10314,Yes,Older Adult Center,40.6085986,-74.1187977
James Monroe NSC -OLDER ADULTS ONLY,1776 Story Av,Bronx,10473,Yes,Older Adult Center,40.8231074,-73.8652894
JASA Dreiser -OLDER ADULTS ONLY,177 Dreiser Loop,Bronx,10475,No,Older Adult Center,40.876629,-73.8287467
Young Israel Programs Midwood -OLDER ADULTS ONLY,1694 Ocean Av,Brooklyn,11230,Yes,Older Adult Center,40.6205176,-73.9558275
Allen AME Community Older Adult Center -OLDER ADULTS ONLY,166-01 Linden Blvd,Queens,11434,Yes,Older Adult Center,40.6902644,-73.7830965
Lehman Village Senior Program (Social Club) OAC -OLDER ADULTS ONLY,1641 Madison Av,Manhattan,10029,No,Older Adult Center,40.7957249,-73.9476298
Bronx River OAC -OLDER ADULTS ONLY,1619 E 174 St,Bronx,10472,Yes,Older Adult Center,,
JASA Senior Alliance OAC -OLDER ADULTS ONLY,161 Corbin Pl,Brooklyn,11235,Yes,Older Adult Center,40.5776886,-73.9538199
CCNS Howard Beach OAC -OLDER ADULTS ONLY,155-55 Cross Bay Blvd,Queens,11414,Yes,Older Adult Center,40.6649152,-73.8402817
JASA Starrett City OAC -OLDER ADULTS ONLY,1540 Van Siclen Av,Brooklyn,11239,Yes,Older Adult Center,40.647482,-73.877974
UJCES Lunch Club OAC -OLDER ADULTS ONLY,15 Willett Street,Manhattan,10002,Yes,Older Adult Center,40.7151807,-73.9833271
Brooks OAC -OLDER ADULTS ONLY,143-22 109 Ave,Queens,11435,No,Older Adult Center,,
Dorchester Senior Citizens Center OAC -OLDER ADULTS ONLY,1419 Dorchester Rd,Brooklyn,11226,Yes,Older Adult Center,40.6393438,-73.9642253
Young Israel Programs Queens Valley II -OLDER ADULTS ONLY,141-55 77 Av,Queens,11367,Yes,Older Adult Center,,
JASA Einstein OAC -OLDER ADULTS ONLY,135 Einstein Loop,Bronx,10475,No,Older Adult Center,40.8644024,-73.8231732
CPC Nan Shan Neighborhood OAC -OLDER ADULTS ONLY,133-14 41 Avenue,Queens,11355,Yes,Older Adult Center,,
William Hodson Community Center Inc OAC -OLDER ADULTS ONLY,1320 Webster Av,Bronx,10456,Yes,Older Adult Center,40.8341179,-73.9083682
