geoid,in_nyc,wbgt,svi,svi_heat,gi_count,indoor_count,gi_density,indoor_density,gi_s,indoor_s,adaptive_score,wbgt_s,svi_s,adaptive_vuln_s,chvi,chvi_class,area_sqmi,rpl_theme1,rpl_theme2,rpl_theme3,rpl_theme4
MN1291,True,17.41394520386738,0.5665199138619197,0.5854283649410579,3.0,0.0,10.789589832047934,0.0,0.015598582686433857,0.0,0.007799291343216929,0.6857754604918035,0.28457371500297857,0.9857681899398882,0.6520391218115568,Moderate,0.2780457873467263,0.47090018650857784,0.36863346271149683,0.5921871639081627,0.8343588423194415
MN1292,True,17.543231450374567,0.5665199138619197,0.5854283649410579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803807858053943,0.28457371500297857,1.0,0.6961271910189738,High,0.3589749437933202,0.47090018650857784,0.36863346271149683,0.5921871639081627,0.8343588423194415
MN6491,True,17.455315684778274,0.5665199138619197,0.5854283649410579,1.0,1.0,0.7276598338620754,0.7276598338620754,0.0010519827224924189,0.04140152761148801,0.021226755166990213,0.7235448070552057,0.28457371500297857,0.9612663337686657,0.65646161860895,Moderate,1.3742685159526689,0.47090018650857784,0.36863346271149683,0.5921871639081627,0.8343588423194415
QN0101,True,17.43942004722004,0.6223753093189037,0.5778727879359461,10.0,1.0,4.781754524174173,0.47817545241741727,0.0069130147199861275,0.027206660688307193,0.01705983770414666,0.7090328209587348,0.425192468867705,0.9688699448222426,0.7010317448828941,High,2.091282592915419,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0102,True,17.49490389352707,0.6223753093189037,0.5778727879359461,4.0,1.0,10.054361450251388,2.513590362562847,0.014535658063219558,0.14301528812890502,0.07877547309606228,0.759687021096134,0.425192468867705,0.8562539183160992,0.6803778027599794,High,0.3978372987475986,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0103,True,17.448150527908155,0.6223753093189037,0.5778727879359461,0.0,1.0,0.0,1.3222022860361151,0.0,0.07522910006280864,0.03761455003140432,0.7170033483375376,0.425192468867705,0.9313625933452161,0.691186136850153,High,0.756313924549277,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0104,True,17.41398125718909,0.6223753093189037,0.5778727879359461,56.0,1.0,59.94888571602322,1.0705158163575574,0.08666850782625815,0.060908941330768684,0.07378872457851342,0.685808375516535,0.425192468867705,0.8653535216769895,0.6587847886870765,High,0.9341291223538496,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0105,True,17.49442711981011,0.6223753093189037,0.5778727879359461,14.0,1.0,14.079200751542079,1.00565719653872,0.020354395347774435,0.057218692378836596,0.03878654386330552,0.7592517486179863,0.425192468867705,0.9292239896088975,0.7045560690315296,High,0.9943746273002462,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0151,True,17.417323785268906,0.6223753093189037,0.5778727879359461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6888599499402503,0.425192468867705,1.0,0.7046841396026519,High,0.6515356924778808,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0161,True,17.439336659910843,0.6223753093189037,0.5778727879359461,1.0,1.0,6.194811766499935,6.194811766499935,0.008955881091941524,0.3524650646682959,0.1807104728801187,0.7089566921801786,0.425192468867705,0.670247332388787,0.6014654978122236,Low,0.1614254052734518,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0171,True,17.397191781015753,0.6223753093189037,0.5778727879359461,2.0,0.0,12.70470131743617,0.0,0.018367272258843437,0.0,0.009183636129421718,0.6704803558695172,0.425192468867705,0.9832420973517318,0.6929716406963179,High,0.157422040080168,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
