geoid,borough,wbgt,svi,adaptive_score,chvi,chvi_class
BX0902,Bronx,17.372481350982287,0.8506955090124146,0.07373239769043216,0.8339947687516682,Very High
BX0903,Bronx,17.375019653134206,0.8506955090124146,0.04071980954083961,0.8565475308175642,Very High
BX0904,Bronx,17.386814507475478,0.8506955090124146,0.0663454329017114,0.8432302136310073,Very High
BX0991,Bronx,17.380525235687653,0.8506955090124146,0.017236299268321063,0.8737164067128717,Very High
BX1001,Bronx,17.401995056985875,0.8506955090124146,0.09756851241777516,0.8272502593388341,Very High
BX1002,Bronx,17.336195704783787,0.8506955090124146,0.019746896280751828,0.8585697464897445,Very High
BX1003,Bronx,17.306372802297293,0.8506955090124146,0.04492227522209714,0.8328844488489581,Very High
BX1004,Bronx,17.376953033335266,0.8506955090124146,0.059215552249605875,0.8449331835485387,Very High
BX1071,Bronx,17.1853219683583,0.8506955090124146,0.0,0.8256843200634988,Very High
BX1091,Bronx,17.35235021622742,0.8506955090124146,0.004324686047765966,0.8736607779621641,Very High
BX1101,Bronx,17.392557987856772,0.8506955090124146,0.08821423323833812,0.8305499475193892,Very High
BX1102,Bronx,17.396106132791065,0.8506955090124146,0.08433038725662846,0.8341921094076473,Very High
BX1103,Bronx,17.387764471608424,0.8506955090124146,0.043505017149668,0.8585884462236065,Very High
BX1104,Bronx,17.391595669724282,0.8506955090124146,0.19820395676110789,0.7576905237999999,Very High
BX1161,Bronx,17.400918138523213,0.8506955090124146,0.0,0.891294116303157,Very High
BX1201,Bronx,17.379933456864325,0.8506955090124146,0.04758021536961269,0.8535166838191691,Very High
BX1202,Bronx,17.36918901130365,0.8506955090124146,0.055913052411284525,0.844749301735381,Very High
BX1203,Bronx,17.358847310101094,0.8506955090124146,0.06982761135127467,0.832421897706222,Very High
BX1271,Bronx,17.366236585965055,0.8506955090124146,0.0,0.8807398954425768,Very High
BX2691,Bronx,17.408643063542794,0.8506955090124146,0.0018563982040181559,0.8924201769583539,Very High
BX2791,Bronx,17.396495943100437,0.8506955090124146,0.004818026101446884,0.886769632536689,Very High
BX2891,Bronx,17.296853682709223,0.8506955090124146,0.0001353185355464188,0.8595361513379848,Very High
